A;B;C;D;E;RENDIMIENTO
-1;-1;-1;-1;-1;42
1;-1;-1;-1;-1;44
-1;1;-1;-1;-1;69
1;1;-1;-1;-1;90
-1;-1;1;-1;-1;51
1;-1;1;-1;-1;55
-1;1;1;-1;-1;75
1;1;1;-1;-1;95
-1;-1;-1;1;-1;43
1;-1;-1;1;-1;45
-1;1;-1;1;-1;67
1;1;-1;1;-1;85
-1;-1;1;1;-1;53
1;-1;1;1;-1;56
-1;1;1;1;-1;79
1;1;1;1;-1;96
-1;-1;-1;-1;1;53
1;-1;-1;-1;1;47
-1;1;-1;-1;1;70
1;1;-1;-1;1;87
-1;-1;1;-1;1;50
1;-1;1;-1;1;57
-1;1;1;-1;1;80
1;1;1;-1;1;100
-1;-1;-1;1;1;41
1;-1;-1;1;1;45
-1;1;-1;1;1;65
1;1;-1;1;1;88
-1;-1;1;1;1;50
1;-1;1;1;1;55
-1;1;1;1;1;76
1;1;1;1;1;98
